TransactionID,Items
71,"""Chocolate, Papel Higienico, Refresco, Leche, Cerveza, Mantequilla, Detergente, Papas fritas"""
72,"""Refresco, Queso, Azucar, Cebolla, Cafe, Cerveza, Detergente, Papas fritas"""
73,"""Yogur, Pasta, Salsa de Tomate, Cerveza, Detergente, Manzanas, Papas fritas"""
74,"""Salsa de Tomate, Chocolate, Cafe, Huevos"""
75,"""Platanos, Papel Higienico, Panales, Azucar, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
76,"""Papas fritas, Cebolla"""
77,"""Queso"""
78,"""Chocolate, Leche, Yogur, Azucar, Salsa de Tomate, Cafe, Cerveza, Mantequilla, Papas fritas"""
79,"""Salsa de Tomate"""
80,"""Papel Higienico, Panales, Azucar, Cebolla, Pan, Detergente"""
81,"""Platanos, Chocolate, Papel Higienico, Refresco, Yogur, Cebolla, Pan, Cerveza"""
82,"""Salsa de Tomate, Platanos"""
83,"""Azucar"""
84,"""Refresco, Queso, Cebolla, Pan, Mantequilla, Detergente, Manzanas"""
85,"""Queso, Panales, Cerveza"""
86,"""Refresco, Yogur, Panales, Azucar, Cafe, Cerveza, Papas fritas"""
87,"""Platanos, Queso, Pasta, Azucar, Salsa de Tomate, Cerveza, Huevos"""
88,"""Papel Higienico, Pasta, Azucar, Salsa de Tomate, Manzanas, Papas fritas"""
89,"""Chocolate, Papel Higienico, Refresco, Queso, Leche, Pasta, Salsa de Tomate, Cafe, Manzanas"""
90,"""Papas fritas, Cerveza"""
91,"""Platanos, Papas fritas"""
92,"""Chocolate, Leche, Cebolla, Pan, Mantequilla"""
93,"""Platanos, Yogur, Pasta, Azucar, Salsa de Tomate, Cafe, Pan, Mantequilla, Papas fritas"""
94,"""Chocolate, Pasta, Cebolla, Mantequilla, Detergente, Manzanas"""
95,"""Chocolate, Papel Higienico, Queso, Mantequilla, Papas fritas"""
96,"""Huevos, Queso, Yogur, Azucar, Cebolla, Salsa de Tomate, Manzanas"""
97,"""Platanos, Refresco"""
98,"""Yogur, Cafe, Azucar, Cebolla"""
99,"""Yogur, Pasta, Cebolla, Salsa de Tomate, Detergente"""
100,"""Papel Higienico, Huevos, Panales, Azucar, Salsa de Tomate, Pan, Cafe, Cerveza, Manzanas"""
101,"""Salsa de Tomate, Cebolla"""
102,"""Yogur, Pan"""
103,"""Salsa de Tomate, Chocolate, Pasta"""
104,"""Chocolate, Papel Higienico, Refresco, Leche, Panales, Yogur, Pasta, Salsa de Tomate, Cerveza, Papas fritas"""
105,"""Platanos, Yogur, Azucar"""
106,"""Chocolate, Papel Higienico, Queso, Leche, Pasta, Azucar, Pan, Cerveza, Mantequilla"""
107,"""Papel Higienico, Cebolla, Cafe, Mantequilla, Detergente, Manzanas"""
108,"""Papel Higienico, Queso, Cerveza, Huevos, Papas fritas"""
109,"""Papel Higienico, Yogur, Cebolla, Pan, Mantequilla"""
110,"""Platanos, Leche, Yogur, Panales, Cerveza, Mantequilla, Detergente, Huevos, Papas fritas"""
111,"""Leche, Cerveza, Mantequilla, Detergente, Papas fritas"""
112,"""Papel Higienico, Queso, Azucar, Salsa de Tomate, Cafe"""
113,"""Papel Higienico, Panales, Pasta, Azucar, Cebolla, Salsa de Tomate, Cafe, Huevos, Papas fritas"""
114,"""Chocolate, Refresco, Huevos, Queso, Leche, Azucar, Salsa de Tomate, Cafe, Manzanas"""
115,"""Pan, Manzanas, Cebolla"""
116,"""Chocolate, Leche, Mantequilla"""
117,"""Platanos, Detergente, Cebolla"""
118,"""Platanos"""
119,"""Papel Higienico, Panales, Yogur, Azucar, Cerveza, Papas fritas"""
120,"""Refresco, Leche, Panales, Pasta, Salsa de Tomate, Cerveza, Papas fritas"""
121,"""Papel Higienico, Huevos, Pasta, Azucar, Salsa de Tomate, Manzanas"""
122,"""Platanos, Chocolate, Panales, Yogur, Pan, Cerveza, Mantequilla, Huevos, Papas fritas"""
123,"""Platanos, Chocolate, Leche, Cerveza, Huevos"""
124,"""Chocolate, Papel Higienico, Leche, Panales, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
125,"""Platanos, Leche, Pasta, Panales, Azucar, Cafe, Pan, Cerveza, Huevos, Papas fritas"""
126,"""Salsa de Tomate, Papas fritas"""
127,"""Refresco, Queso, Azucar, Cebolla, Pan, Cafe, Detergente, Manzanas, Papas fritas"""
128,"""Chocolate, Azucar"""
129,"""Papel Higienico, Panales, Pasta, Azucar, Salsa de Tomate, Cafe, Detergente, Papas fritas"""
130,"""Papas fritas"""
131,"""Chocolate, Refresco, Azucar, Pan, Mantequilla, Detergente, Manzanas"""
132,"""Platanos, Chocolate, Papel Higienico, Leche, Cebolla, Huevos, Papas fritas"""
133,"""Refresco, Pasta, Yogur, Salsa de Tomate, Cerveza, Papas fritas"""
134,"""Manzanas"""
135,"""Platanos, Queso, Yogur, Azucar, Salsa de Tomate, Cafe, Cerveza, Papas fritas"""
136,"""Platanos, Chocolate, Leche, Azucar, Salsa de Tomate, Cafe, Cerveza"""
137,"""Chocolate, Queso, Pasta, Salsa de Tomate, Pan, Cerveza, Mantequilla"""
138,"""Refresco, Panales, Yogur, Cebolla, Salsa de Tomate, Cafe, Cerveza, Huevos, Papas fritas"""
139,"""Chocolate, Papel Higienico, Refresco, Yogur, Panales, Cafe, Cerveza, Huevos"""
140,"""Detergente"""
141,"""Chocolate, Papel Higienico, Panales, Azucar, Cebolla, Cerveza, Huevos"""
142,"""Platanos, Refresco, Queso, Cebolla, Mantequilla, Detergente"""
143,"""Queso, Detergente, Platanos"""
144,"""Platanos, Yogur, Pasta, Salsa de Tomate, Detergente, Manzanas"""
145,"""Chocolate, Refresco, Leche, Yogur, Detergente"""
146,"""Chocolate, Papel Higienico, Refresco, Queso, Panales, Cebolla, Pan, Cerveza, Mantequilla"""
147,"""Platanos, Queso, Panales, Azucar, Salsa de Tomate, Pan, Cafe, Huevos"""
148,"""Chocolate, Papel Higienico, Leche, Pan, Cerveza, Detergente"""
149,"""Chocolate, Manzanas"""
150,"""Salsa de Tomate, Pasta, Pan, Detergente"""
151,"""Mantequilla, Leche, Panales, Chocolate"""
152,"""Yogur, Panales, Cebolla, Cerveza, Mantequilla, Papas fritas"""
153,"""Papel Higienico, Refresco, Panales, Pasta, Azucar, Cebolla, Salsa de Tomate, Pan, Mantequilla, Huevos"""
154,"""Papas fritas, Cerveza"""
155,"""Mantequilla, Azucar"""
156,"""Papel Higienico, Refresco"""
157,"""Salsa de Tomate, Detergente, Azucar, Cerveza"""
158,"""Azucar, Cebolla, Salsa de Tomate, Pan, Cerveza, Mantequilla, Papas fritas"""
159,"""Papel Higienico, Refresco, Queso, Pasta, Cebolla, Salsa de Tomate, Pan, Cerveza, Mantequilla"""
160,"""Refresco"""
161,"""Chocolate, Refresco, Azucar, Cafe, Detergente"""
162,"""Pan"""
163,"""Chocolate, Panales, Pasta, Yogur, Azucar, Salsa de Tomate, Cafe, Cerveza, Detergente, Papas fritas"""
164,"""Leche, Papel Higienico, Papas fritas, Cerveza"""
165,"""Leche, Azucar, Cebolla, Salsa de Tomate, Pan, Mantequilla, Detergente"""
166,"""Cebolla"""
167,"""Refresco, Queso, Pasta, Salsa de Tomate, Cerveza, Mantequilla, Manzanas, Papas fritas"""
168,"""Panales, Cebolla, Cafe, Pan, Cerveza, Detergente, Manzanas, Papas fritas"""
169,"""Papel Higienico, Refresco, Panales, Azucar, Cebolla, Cerveza, Huevos, Papas fritas"""
170,"""Chocolate, Refresco, Panales, Azucar, Cerveza, Manzanas, Papas fritas"""
171,"""Pasta, Salsa de Tomate, Cerveza, Detergente, Papas fritas"""
172,"""Mantequilla, Pan, Manzanas"""
173,"""Refresco, Queso, Pasta, Salsa de Tomate, Pan, Detergente, Huevos"""
174,"""Mantequilla, Refresco, Salsa de Tomate, Cerveza"""
175,"""Detergente, Papel Higienico, Refresco"""
176,"""Platanos, Papel Higienico, Pasta, Yogur, Salsa de Tomate, Cafe, Pan, Cerveza, Papas fritas"""
177,"""Refresco, Leche, Panales, Azucar, Cebolla, Cafe, Cerveza"""
178,"""Detergente, Manzanas"""
179,"""Platanos, Chocolate, Refresco, Panales, Pasta, Azucar, Salsa de Tomate, Cafe, Cerveza, Huevos"""
180,"""Huevos, Azucar"""
181,"""Platanos, Pasta, Yogur, Cebolla, Salsa de Tomate, Cerveza, Papas fritas"""
182,"""Platanos, Chocolate, Refresco, Panales, Azucar, Cerveza, Mantequilla, Detergente, Papas fritas"""
183,"""Chocolate, Leche, Azucar"""
184,"""Platanos, Refresco, Queso, Panales, Cerveza, Manzanas, Papas fritas"""
185,"""Manzanas"""
186,"""Papel Higienico, Panales, Cebolla, Pan, Mantequilla, Manzanas"""
187,"""Chocolate, Leche"""
188,"""Platanos, Yogur, Cebolla, Pan, Manzanas, Huevos"""
189,"""Detergente"""
190,"""Chocolate, Papel Higienico, Yogur, Azucar, Pan, Cafe, Mantequilla, Detergente, Papas fritas"""
191,"""Chocolate, Leche, Pasta, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
192,"""Refresco, Pan, Cerveza, Mantequilla, Papas fritas"""
193,"""Platanos, Chocolate, Leche, Yogur, Panales, Azucar, Salsa de Tomate, Cafe, Cerveza, Detergente, Huevos, Papas fritas"""
194,"""Queso, Panales, Yogur, Cerveza, Papas fritas"""
195,"""Chocolate, Queso, Cebolla, Cafe, Pan, Mantequilla, Manzanas, Papas fritas"""
196,"""Refresco"""
197,"""Mantequilla, Chocolate, Detergente, Papas fritas"""
198,"""Queso, Cebolla, Pan, Mantequilla, Huevos"""
199,"""Chocolate, Leche, Salsa de Tomate, Cerveza, Mantequilla, Detergente, Papas fritas"""
200,"""Chocolate, Leche, Pasta, Panales, Cebolla, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
201,"""Queso, Papel Higienico"""
202,"""Mantequilla, Pan, Papas fritas, Cerveza"""
203,"""Chocolate, Leche, Manzanas"""
204,"""Platanos, Panales, Azucar, Pan, Cerveza, Mantequilla, Manzanas, Papas fritas"""
205,"""Leche, Panales, Detergente, Papel Higienico"""
206,"""Platanos, Panales, Pasta, Azucar, Salsa de Tomate, Pan, Cerveza, Detergente"""
207,"""Platanos, Papel Higienico, Panales, Cerveza, Detergente, Manzanas, Papas fritas"""
208,"""Platanos, Chocolate, Refresco, Queso, Leche, Cebolla, Pan, Mantequilla"""
209,"""Huevos, Chocolate, Manzanas, Refresco"""
210,"""Queso, Chocolate, Papas fritas, Cerveza"""
211,"""Papel Higienico, Yogur, Salsa de Tomate, Cerveza, Mantequilla, Detergente"""
212,"""Chocolate, Pasta, Panales, Azucar, Salsa de Tomate, Cerveza, Papas fritas"""
213,"""Platanos, Chocolate, Azucar, Salsa de Tomate, Cafe"""
214,"""Refresco"""
215,"""Chocolate, Papel Higienico, Queso, Leche, Panales, Azucar, Salsa de Tomate, Cafe, Cerveza, Mantequilla, Papas fritas"""
216,"""Papel Higienico, Queso, Yogur, Cebolla, Salsa de Tomate, Pan, Cerveza, Huevos, Papas fritas"""
217,"""Refresco, Pasta, Panales, Salsa de Tomate, Pan, Cerveza, Mantequilla, Papas fritas"""
218,"""Chocolate, Pasta, Azucar, Salsa de Tomate, Cerveza, Mantequilla, Detergente, Papas fritas"""
219,"""Panales, Papas fritas, Cerveza"""
220,"""Salsa de Tomate, Pasta, Manzanas"""
221,"""Yogur"""
222,"""Cafe"""
223,"""Manzanas"""
224,"""Platanos"""
225,"""Chocolate, Huevos, Yogur, Panales, Azucar, Salsa de Tomate, Cerveza, Manzanas, Papas fritas"""
226,"""Chocolate, Panales, Papas fritas, Cerveza"""
227,"""Cafe, Azucar, Refresco"""
228,"""Refresco, Panales, Cerveza, Mantequilla, Manzanas"""
229,"""Cafe"""
230,"""Platanos, Pasta, Cebolla, Salsa de Tomate, Pan, Cerveza, Manzanas, Papas fritas"""
231,"""Platanos, Yogur, Azucar"""
232,"""Platanos, Yogur, Pan, Cebolla"""
233,"""Yogur, Detergente, Papas fritas"""
234,"""Yogur, Huevos"""
235,"""Chocolate, Yogur, Panales, Azucar, Cafe, Pan, Cerveza, Mantequilla, Papas fritas"""
236,"""Papel Higienico"""
237,"""Panales, Cebolla, Mantequilla, Huevos, Papas fritas"""
238,"""Papel Higienico, Refresco, Cebolla, Pan, Mantequilla, Manzanas, Papas fritas"""
239,"""Platanos, Leche"""
240,"""Platanos, Chocolate, Refresco, Leche, Pasta, Salsa de Tomate, Detergente, Papas fritas"""
241,"""Queso, Yogur, Panales, Pan, Cerveza, Manzanas, Papas fritas"""
242,"""Azucar, Cafe, Pan, Mantequilla, Huevos, Papas fritas"""
243,"""Refresco, Queso, Azucar, Cebolla, Cafe, Mantequilla, Detergente"""
244,"""Queso, Pasta, Azucar, Salsa de Tomate, Pan, Cafe, Cerveza, Mantequilla, Detergente, Papas fritas"""
245,"""Platanos, Queso, Azucar, Salsa de Tomate, Pan, Cafe, Mantequilla"""
246,"""Huevos, Azucar, Cebolla"""
247,"""Queso, Panales, Cebolla, Cerveza, Huevos, Papas fritas"""
248,"""Platanos, Cafe, Cebolla"""
249,"""Platanos, Panales, Azucar, Cebolla, Cafe, Huevos, Papas fritas"""
250,"""Salsa de Tomate, Pasta, Azucar, Refresco"""
251,"""Yogur, Pan"""
252,"""Chocolate, Leche, Panales, Azucar, Salsa de Tomate, Cerveza, Manzanas, Papas fritas"""
253,"""Platanos, Chocolate, Refresco, Leche, Azucar, Salsa de Tomate, Manzanas"""
254,"""Platanos, Refresco, Leche, Azucar, Cafe, Manzanas"""
255,"""Panales, Pasta, Salsa de Tomate, Cerveza, Papas fritas"""
256,"""Salsa de Tomate, Pasta"""
257,"""Azucar"""
258,"""Huevos, Refresco, Pasta, Panales, Azucar, Salsa de Tomate, Cerveza, Manzanas, Papas fritas"""
259,"""Queso, Panales, Cerveza, Mantequilla, Manzanas, Papas fritas"""
260,"""Platanos, Queso, Leche, Pan, Mantequilla, Detergente"""
261,"""Chocolate, Papel Higienico, Detergente, Pan"""
262,"""Refresco, Leche, Panales, Azucar, Cafe, Mantequilla"""
263,"""Yogur, Azucar, Cebolla, Pan, Mantequilla, Detergente, Papas fritas"""
264,"""Papas fritas, Cerveza"""
265,"""Detergente, Manzanas, Azucar, Refresco"""
266,"""Cebolla"""
267,"""Salsa de Tomate, Huevos"""
268,"""Refresco"""
269,"""Huevos, Papas fritas"""
270,"""Azucar, Cebolla, Salsa de Tomate, Pan, Cerveza, Mantequilla, Papas fritas"""
271,"""Platanos, Yogur, Panales, Pasta, Azucar, Salsa de Tomate, Cerveza, Detergente, Manzanas, Papas fritas"""
272,"""Chocolate, Papel Higienico, Yogur, Panales, Cerveza, Detergente, Papas fritas"""
273,"""Mantequilla, Leche, Papel Higienico, Chocolate"""
274,"""Papel Higienico, Pasta, Azucar, Salsa de Tomate, Manzanas, Papas fritas"""
275,"""Platanos, Leche, Pasta, Panales, Azucar, Salsa de Tomate, Cafe, Cerveza, Papas fritas"""
276,"""Leche, Panales, Azucar, Cerveza, Detergente"""
277,"""Queso"""
278,"""Panales, Cebolla, Salsa de Tomate, Pan, Detergente, Manzanas, Papas fritas"""
279,"""Platanos, Chocolate, Refresco, Panales, Azucar, Cafe, Cerveza, Huevos"""
280,"""Refresco, Pasta, Azucar, Salsa de Tomate, Cafe, Detergente, Manzanas"""
281,"""Leche, Detergente, Papel Higienico"""
282,"""Chocolate"""
283,"""Chocolate, Refresco, Leche, Panales, Salsa de Tomate"""
284,"""Leche, Chocolate, Azucar"""
285,"""Refresco, Chocolate, Queso, Cerveza"""
286,"""Pasta, Panales, Azucar, Cebolla, Salsa de Tomate, Pan, Cerveza, Detergente, Manzanas, Papas fritas"""
287,"""Chocolate, Queso, Leche, Pasta, Panales, Yogur, Cebolla, Salsa de Tomate, Cerveza, Mantequilla, Papas fritas"""
288,"""Chocolate"""
289,"""Azucar"""
290,"""Chocolate, Queso, Leche, Yogur, Pan, Cerveza, Mantequilla, Manzanas, Papas fritas"""
291,"""Chocolate, Papel Higienico, Leche, Yogur, Azucar, Cafe, Mantequilla, Detergente"""
292,"""Queso, Refresco"""
293,"""Papel Higienico, Queso, Pasta, Cebolla, Salsa de Tomate, Detergente"""
294,"""Queso, Panales, Azucar, Cebolla, Cafe, Cerveza, Mantequilla, Papas fritas"""
295,"""Platanos, Papel Higienico, Azucar, Cafe, Papas fritas"""
296,"""Platanos, Papel Higienico, Pasta, Azucar, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
297,"""Queso, Manzanas"""
298,"""Chocolate, Papel Higienico, Refresco, Cebolla, Salsa de Tomate, Mantequilla, Detergente"""
299,"""Cafe, Azucar"""
300,"""Platanos, Chocolate, Cebolla, Pan, Mantequilla"""
301,"""Chocolate, Refresco"""
302,"""Mantequilla, Chocolate, Pan, Manzanas"""
303,"""Platanos, Chocolate, Papel Higienico, Leche, Pan, Mantequilla, Detergente, Manzanas, Papas fritas"""
304,"""Papel Higienico, Leche, Panales, Cerveza, Papas fritas"""
305,"""Platanos, Papel Higienico, Refresco, Leche, Azucar, Pan, Cafe, Mantequilla"""
306,"""Papel Higienico, Papas fritas"""
307,"""Panales, Papas fritas, Cerveza"""
308,"""Platanos, Chocolate, Leche, Pasta, Yogur, Salsa de Tomate, Manzanas"""
309,"""Pan, Papas fritas, Cerveza"""
310,"""Queso, Pan, Detergente"""
311,"""Platanos, Chocolate, Panales, Azucar, Cerveza, Manzanas"""
312,"""Chocolate, Queso, Yogur, Panales, Salsa de Tomate, Pan, Cerveza, Manzanas, Papas fritas"""
313,"""Platanos, Chocolate, Papel Higienico, Panales, Azucar, Cafe, Cerveza, Detergente, Papas fritas"""
314,"""Platanos, Papel Higienico, Yogur, Azucar, Salsa de Tomate, Cerveza, Manzanas, Papas fritas"""
315,"""Panales, Azucar, Salsa de Tomate, Cafe, Mantequilla, Detergente, Papas fritas"""
316,"""Mantequilla, Platanos, Papel Higienico"""
317,"""Huevos"""
318,"""Platanos, Yogur, Pasta, Azucar, Cerveza"""
319,"""Platanos, Yogur, Pasta, Cebolla, Salsa de Tomate, Pan, Mantequilla, Huevos, Papas fritas"""
320,"""Chocolate, Yogur, Pan, Cerveza, Mantequilla, Detergente, Huevos, Papas fritas"""
321,"""Queso, Azucar, Pan, Cerveza, Mantequilla, Manzanas, Papas fritas"""
322,"""Yogur"""
323,"""Yogur, Panales, Pan, Detergente, Manzanas, Papas fritas"""
324,"""Pasta, Azucar, Salsa de Tomate, Pan, Mantequilla"""
325,"""Refresco, Cebolla, Cerveza, Huevos, Papas fritas"""
326,"""Chocolate"""
327,"""Salsa de Tomate, Chocolate, Manzanas"""
328,"""Queso, Azucar, Salsa de Tomate, Cafe, Cerveza, Detergente, Huevos, Papas fritas"""
329,"""Chocolate, Refresco, Pasta, Panales, Azucar, Salsa de Tomate, Cafe, Cerveza"""
330,"""Papel Higienico, Cerveza, Mantequilla, Detergente, Huevos, Papas fritas"""
331,"""Chocolate, Leche, Panales, Pasta, Azucar, Cebolla, Salsa de Tomate, Pan, Cafe, Cerveza, Mantequilla, Detergente"""
332,"""Mantequilla, Detergente, Manzanas, Cerveza"""
333,"""Papel Higienico, Refresco, Queso, Pasta, Yogur, Azucar, Cebolla, Salsa de Tomate, Mantequilla"""
334,"""Chocolate, Leche"""
335,"""Refresco"""
336,"""Mantequilla, Refresco, Pan, Cerveza"""
337,"""Chocolate, Papel Higienico, Azucar, Refresco"""
338,"""Platanos"""
339,"""Salsa de Tomate, Platanos, Pasta, Papas fritas"""
340,"""Queso, Yogur, Pasta, Cebolla, Salsa de Tomate"""
341,"""Pasta, Salsa de Tomate, Pan, Cerveza, Papas fritas"""
342,"""Platanos, Papel Higienico, Queso, Pasta, Azucar, Salsa de Tomate, Manzanas"""
343,"""Chocolate, Papel Higienico, Refresco, Azucar, Cafe, Mantequilla, Manzanas"""
344,"""Mantequilla, Salsa de Tomate, Pasta, Detergente"""
345,"""Platanos, Yogur, Panales, Azucar, Pan, Detergente, Huevos, Papas fritas"""
346,"""Platanos, Chocolate, Queso, Leche, Azucar, Cebolla, Pan, Mantequilla"""
347,"""Huevos"""
348,"""Chocolate, Salsa de Tomate, Pan, Cerveza, Mantequilla"""
349,"""Platanos, Chocolate, Azucar, Cebolla, Cafe, Papas fritas"""
350,"""Panales, Cebolla, Papas fritas, Cerveza"""
351,"""Papel Higienico, Panales, Cebolla, Pan, Cerveza, Mantequilla, Papas fritas"""
352,"""Platanos, Queso, Pasta, Azucar, Salsa de Tomate, Cerveza, Mantequilla, Papas fritas"""
353,"""Chocolate, Refresco, Yogur, Panales, Azucar, Salsa de Tomate, Cafe, Papas fritas"""
354,"""Chocolate, Queso, Leche, Pasta, Azucar, Cebolla, Salsa de Tomate, Cafe"""
355,"""Chocolate, Leche, Salsa de Tomate, Pan, Cerveza, Detergente, Huevos"""
356,"""Chocolate, Papel Higienico, Queso, Leche, Panales, Cebolla, Cerveza, Detergente, Papas fritas"""
357,"""Salsa de Tomate, Panales, Detergente"""
358,"""Yogur, Panales"""
359,"""Platanos, Queso, Pasta, Cebolla, Salsa de Tomate, Pan, Mantequilla"""
360,"""Chocolate, Refresco, Leche, Azucar, Cebolla, Mantequilla, Detergente, Huevos"""
361,"""Platanos, Chocolate, Leche, Panales, Cebolla, Mantequilla, Detergente, Huevos"""
362,"""Queso, Azucar, Salsa de Tomate, Pan, Mantequilla"""
363,"""Papel Higienico, Cafe"""
364,"""Queso, Papas fritas, Cerveza"""
365,"""Salsa de Tomate, Pasta"""
366,"""Chocolate, Refresco, Leche, Cerveza, Papas fritas"""
367,"""Platanos, Papel Higienico, Queso, Cafe, Detergente, Manzanas"""
368,"""Papel Higienico, Cafe, Cerveza, Huevos, Papas fritas"""
369,"""Platanos, Refresco, Queso, Panales, Salsa de Tomate, Manzanas, Huevos"""
370,"""Platanos, Cafe, Papas fritas"""
371,"""Chocolate, Queso, Leche, Yogur, Pasta, Azucar, Salsa de Tomate, Cerveza, Mantequilla, Papas fritas"""
372,"""Chocolate, Queso, Yogur, Azucar, Salsa de Tomate, Cafe, Mantequilla, Manzanas, Papas fritas"""
373,"""Chocolate, Queso, Pasta, Azucar, Salsa de Tomate, Detergente"""
374,"""Azucar"""
375,"""Chocolate, Leche, Yogur, Azucar, Cafe, Detergente, Manzanas, Papas fritas"""
376,"""Papel Higienico, Cebolla, Cafe, Pan, Cerveza, Mantequilla, Huevos, Papas fritas"""
377,"""Papel Higienico, Huevos"""
378,"""Mantequilla, Leche, Panales, Huevos"""
379,"""Platanos, Chocolate, Azucar, Salsa de Tomate, Cerveza, Papas fritas"""
380,"""Mantequilla, Salsa de Tomate, Pasta, Pan"""
381,"""Salsa de Tomate, Pasta, Papel Higienico"""
382,"""Salsa de Tomate, Manzanas"""
383,"""Platanos, Cafe, Huevos, Azucar"""
384,"""Chocolate, Refresco, Queso, Leche, Azucar, Salsa de Tomate, Cafe, Detergente"""
385,"""Platanos, Yogur"""
386,"""Refresco, Salsa de Tomate, Pan, Mantequilla, Detergente"""
